elegacy_school_id,school_name,school_city,school_state,school_country,professor_id,professor_legacy_id,first_name,last_name,department,avg_rating,avg_difficulty,num_ratings,would_take_again_percent,is_saved
,Simon Fraser University,,,,VGVhY2hlci0yNDY3NzU0,2467754,Maxwell,Libbrecht,Computer Science,2.1,3.5,24,25,False
,Simon Fraser University,,,,VGVhY2hlci0zMDM3MjIy,3037222,Reid ,Staples,Earth Science,3.7,3.3,12,75,False
,Simon Fraser University,,,,VGVhY2hlci04OTI4NzM=,892873,Graeme,Bowbrick,Criminology,3.9,3.6,186,58.7629,False
,Simon Fraser University,,,,VGVhY2hlci0xMjE5MDI2,1219026,Eric,Beauregard,Criminology,2.5,4.1,91,23.9437,False
,Simon Fraser University,,,,VGVhY2hlci0xNzkyNDU3,1792457,Lara,Aknin,Psychology,4.3,2.8,89,77.4194,False
,Simon Fraser University,,,,VGVhY2hlci0xOTExNTcw,1911570,Jiang,Ye,Computer Science,2.4,3.6,71,33.3333,False
,Simon Fraser University,,,,VGVhY2hlci0xMTk1MTgy,1195182,Christoph,Lulfesmann,Economics,2.5,4,69,34.4828,False
,Simon Fraser University,,,,VGVhY2hlci0yMTY5NzU2,2169756,Yonas,Weldeselassie,Computer Science,3.6,3.7,62,66.129,False
,Simon Fraser University,,,,VGVhY2hlci0xMzU5ODA1,1359805,Sharla,Stolhandske,Biology,4.1,2.5,58,66.6667,False
,Simon Fraser University,,,,VGVhY2hlci0yNDE3MTUx,2417151,Maaike,Helmus,Criminology,3.2,3.6,54,51.8519,False
,Simon Fraser University,,,,VGVhY2hlci0yODEyMTMy,2812132,Dawn,Rault,Criminology,3.7,3.2,51,70.5882,False
,Simon Fraser University,,,,VGVhY2hlci0xNzEwNTM2,1710536,Elena,Halmaghi,Mathematics,2.9,3.2,46,51.8519,False
,Simon Fraser University,,,,VGVhY2hlci0zMDQxOTc4,3041978,Collin,Ifeonu,Sociology,3.7,3.3,37,59.4595,False
,Simon Fraser University,,,,VGVhY2hlci0zNTI2MTY=,352616,Jim,Mattsson,Biology,3.4,2.8,32,57.1429,False
,Simon Fraser University,,,,VGVhY2hlci0yNjE5MzA1,2619305,James,Zhou,Chemistry,4.9,2.6,26,100,False
,Simon Fraser University,,,,VGVhY2hlci0yMzk1NzU2,2395756,Ian,Brooks,Philosophy,4.9,2.6,23,91.3043,False
,Simon Fraser University,,,,VGVhY2hlci0xOTUxOTky,1951992,Amanda,Butler,Criminology,4,2.9,11,100,False
,Simon Fraser University,,,,VGVhY2hlci0yMDEyNjM1,2012635,Loren,Kaake,Chemistry,2.3,3.9,10,11.1111,False
,Simon Fraser University,,,,VGVhY2hlci0zMDUxMTE3,3051117,Spyros,Sofos,Humanities,4.8,2.4,8,100,False
,Simon Fraser University,,,,VGVhY2hlci0yMzg1NDUx,2385451,Ali,Habibzadeh,Engineering,5,1.3,3,100,False
,Simon Fraser University,,,,VGVhY2hlci00NzUwMjU=,475025,Nick,Hedley,Geography,3.1,3.7,65,56,False
,Simon Fraser University,,,,VGVhY2hlci0xNjE2NzI2,1616726,Cristina,Moretti,Sociology & Anthropology,2.7,4,34,22.7273,False
,Simon Fraser University,,,,VGVhY2hlci0yODE0MjY4,2814268,Grant,Mowbray,Accounting,3.8,3.1,27,70.3704,False
,Simon Fraser University,,,,VGVhY2hlci01ODMyMDU=,583205,Kevin,Douglas,Psychology,4.4,2.9,26,93.3333,False
,Simon Fraser University,,,,VGVhY2hlci0yMjI0MDA4,2224008,Sabrina,Higgins,Archaeology,4.7,3.1,24,87.5,False
,Simon Fraser University,,,,VGVhY2hlci0xNTA5NTMy,1509532,Mark,Brockman,Molecular Biosciences,4.2,2.8,18,90,False
,Simon Fraser University,,,,VGVhY2hlci0zMTAxNTYw,3101560,LINYI ,LI,Computer Science,2.6,3.4,5,40,False
,Simon Fraser University,,,,VGVhY2hlci0zMDc4Mzk0,3078394,Zara,Anwarzai,Philosophy,5,2,2,100,False
,Simon Fraser University,,,,VGVhY2hlci0zMTUyMTAy,3152102,Justin,Tetrault,Criminology,5,2,1,100,False
,Simon Fraser University,,,,VGVhY2hlci0yMjc4MDYw,2278060,Ilia,Bykov,Education,2.5,4,284,38.0282,False
,Simon Fraser University,,,,VGVhY2hlci04NDgxNg==,84816,Marie,Rekkas,Economics,3.6,3.4,147,61.2903,False
,Simon Fraser University,,,,VGVhY2hlci0yNzQ5Njk1,2749695,Wei Becky,Lin,Statistics,4.3,2.6,120,85,False
,Simon Fraser University,,,,VGVhY2hlci0yMzExNTI3,2311527,Sophie,Burrill,Mathematics,2.7,3.7,83,44.5783,False
,Simon Fraser University,,,,VGVhY2hlci0yNzMxNTk4,2731598,Leanne,Roderick,Geography,3.2,3,68,55.8824,False
,Simon Fraser University,,,,VGVhY2hlci0yMDgzNTY=,208356,Jinko,Graham,Statistics,1.7,4,62,14.0351,False
,Simon Fraser University,,,,VGVhY2hlci0yMzY3NjMw,2367630,Bahareh,Assadi,Business Administration,3.3,3.1,56,66.0714,False
,Simon Fraser University,,,,VGVhY2hlci0yOTc5MTE4,2979118,Kino,Zhao,Philosophy,1.8,3.9,38,15.7895,False
,Simon Fraser University,,,,VGVhY2hlci0yMDI0NTAx,2024501,Chris,Jeschelnik,Communication,4.7,2.5,32,96.5517,False
,Simon Fraser University,,,,VGVhY2hlci0yODM4MDgy,2838082,Jennessia,Pedri,Communication,3.9,2.7,32,65.625,False
,Simon Fraser University,,,,VGVhY2hlci0zMDc4Mzk3,3078397,Janice,Jeong,History,2.5,4,19,36.8421,False
,Simon Fraser University,,,,VGVhY2hlci0yNzgyMDk3,2782097,Juan,Ferrer,Science,4.8,1.5,16,93.75,False
,Simon Fraser University,,,,VGVhY2hlci0yODY0MjYw,2864260,Natahnee,Winder,Indigenous Studies,1.6,3.2,13,7.6923,False
,Simon Fraser University,,,,VGVhY2hlci0zMTM1MTQy,3135142,Martin,Fuchs,Business Administration,5,3.7,3,100,False
,Simon Fraser University,,,,VGVhY2hlci0xMzcxMzA0,1371304,Diana,Bedoya,Kinesiology,4,3.1,185,66.6667,False
,Simon Fraser University,,,,VGVhY2hlci0yNDQxODE3,2441817,Martin,Santamaria,Economics,4.4,2.8,117,87.1795,False
,Simon Fraser University,,,,VGVhY2hlci04NjIzNTk=,862359,Edgar,Young,Science,2.5,4.2,82,33.3333,False
,Simon Fraser University,,,,VGVhY2hlci0xMDA2ODUw,1006850,Michael,Johnson,Business Administration,4.7,2.3,73,100,False
,Simon Fraser University,,,,VGVhY2hlci0zMDk5NzMx,3099731,Devadrita,Nair,Business Administration,5,2.6,27,100,False
,Simon Fraser University,,,,VGVhY2hlci0xOTE5Njk1,1919695,Mark,Nazemi,Information Technology,4,2.8,9,71.4286,False
,Simon Fraser University,,,,VGVhY2hlci0zMTMxMTE3,3131117,Sevda,Sattari,Business Administration,5,2.7,3,100,False
,Simon Fraser University,,,,VGVhY2hlci0yNzMxMTQz,2731143,Irina,Kovalyova,Molecular Biology & Biochemistry,3.2,4,79,55.6962,False
,Simon Fraser University,,,,VGVhY2hlci0zMDE0MzUx,3014351,Baran,Fakhri,Sociology,4.5,2.6,40,90,False
,Simon Fraser University,,,,VGVhY2hlci0yNjUzNTQy,2653542,Hang,Ma,Computer Science,2.1,4,33,28.125,False
,Simon Fraser University,,,,VGVhY2hlci04ODk5Nw==,88997,Christian,Guilbault,Languages,3.4,3.3,25,44.4444,False
,Simon Fraser University,,,,VGVhY2hlci0zMDg4NDMz,3088433,Gustavo,Balbino,Biomedical Physiology & Kinesiology,3,3.5,6,33.3333,False
,Simon Fraser University,,,,VGVhY2hlci0xNjU0NjQ4,1654648,Frederik,Lesage,Communication,3.9,2.5,21,90,False
,Simon Fraser University,,,,VGVhY2hlci01ODM3ODM=,583783,Shafik,Bhalloo,Business Administration,4.5,2.9,250,90.2913,False
,Simon Fraser University,,,,VGVhY2hlci0yMTc3NTk3,2177597,Megan,Barker,Biology,2.4,4.2,162,32.716,False
,Simon Fraser University,,,,VGVhY2hlci0xMDc0MTc=,107417,Karen,Kavanagh,Physics,1.5,4.2,95,1.7544,False
,Simon Fraser University,,,,VGVhY2hlci0yMjQzNTMz,2243533,Albert,Seah,Business Administration,1.9,3.6,32,21.875,False
,Simon Fraser University,,,,VGVhY2hlci0yMDI4MjE0,2028214,Marie,Ouellet,Criminology,4.8,2.4,9,100,False
,Simon Fraser University,,,,VGVhY2hlci0xMTgzNzA2,1183706,Jeremy,Brown,History,4.4,2.8,65,81.4815,False
,Simon Fraser University,,,,VGVhY2hlci0yNDI1NDcz,2425473,Bertrand,Sager,Psychology,4.5,2.7,41,82.9268,False
,Simon Fraser University,,,,VGVhY2hlci0zMDgwODI3,3080827,Kevin,Laughren,Economics,2.9,3.9,25,48,False
,Simon Fraser University,,,,VGVhY2hlci0zMDIxMDk2,3021096,Edward,Hung,Management,3.5,4,2,50,False
,Simon Fraser University,,,,VGVhY2hlci0zMTI4MTk2,3128196,Nazanin,Shahrokni,International Studies,3.5,3.5,2,50,False
,Simon Fraser University,,,,VGVhY2hlci0yOTE4MjM3,2918237,Brea,McCauley,Archaeology,2.9,2.9,10,60,False
,Simon Fraser University,,,,VGVhY2hlci0zOTkxNA==,39914,Billie,Ng,Languages,3.4,3,50,35.2941,False
,Simon Fraser University,,,,VGVhY2hlci04MjExMTU=,821115,Matt,Hussey,English,3.9,3.7,39,80,False
,Simon Fraser University,,,,VGVhY2hlci0xNzAyODYw,1702860,Arrvindh,Shriraman,Computer Science,2.1,4.4,179,28.0702,False
,Simon Fraser University,,,,VGVhY2hlci05MTA2Nzc=,910677,Peter,Cramer,English,3.5,3.1,52,56.5217,False
,Simon Fraser University,,,,VGVhY2hlci00NjI4MDE=,462801,John,Canal,Chemistry,3.4,3.1,79,46.3415,False
,Simon Fraser University,,,,VGVhY2hlci0yNDU5MjEy,2459212,Peng,Zhang,Business Administration,2.7,3.9,57,47.3684,False
,Simon Fraser University,,,,VGVhY2hlci05MzczNDY=,937346,Zahra,Ladha,Business Administration,3.2,2.7,34,40,False
,Simon Fraser University,,,,VGVhY2hlci0zMTM2OA==,31368,Michael,Brydon,Business Administration,3.6,3.4,27,100,False
,Simon Fraser University,,,,VGVhY2hlci0zMTYwNzI5,3160729,Tsoghik,Grigoryan,Education,4.7,2.3,3,100,False
,Simon Fraser University,,,,VGVhY2hlci0zMTU2Mzcy,3156372,Martin,Funchs,Business Administration,3,3,1,100,False
,Simon Fraser University,,,,VGVhY2hlci0zMDE5NzE1,3019715,Olessya,Akimenko,Education,5,2,1,100,False
,Simon Fraser University,,,,VGVhY2hlci0yNDYzMDA=,246300,Janice,Regan,Computer Science,1.8,4.3,387,7.6923,False
,Simon Fraser University,,,,VGVhY2hlci00MDA0MTE=,400411,Valentine,Kabanets,Computer Science,2.1,4.6,134,17.5926,False
,Simon Fraser University,,,,VGVhY2hlci0yOTg2Mzkz,2986393,Yan,Yan,Economics,4.8,3.1,61,98.3607,False
,Simon Fraser University,,,,VGVhY2hlci0yNzg0NTI5,2784529,Jean-Christophe,Belisle-Pipon,Health Science,2,4.1,39,20.5128,False
,Simon Fraser University,,,,VGVhY2hlci0yNzM2NzI3,2736727,Ray,Zhang,Accounting,3.5,3.3,11,54.5455,False
,Simon Fraser University,,,,VGVhY2hlci0yOTMxNTI5,2931529,Alyssa,Croft,Psychology,3.3,3,117,58.1197,False
,Simon Fraser University,,,,VGVhY2hlci0yNTgxNTk2,2581596,Ryan,D'Arcy,Engineering,2.5,2,47,34.0426,False
,Simon Fraser University,,,,VGVhY2hlci0yNzY2NjAz,2766603,Laurie,Darcus,Archaeology,1.5,4.1,27,7.4074,False
,Simon Fraser University,,,,VGVhY2hlci0yOTQ0NzU1,2944755,Adele ,Quigley McBride,Psychology,4.7,2.7,23,95.6522,False
,Simon Fraser University,,,,VGVhY2hlci0xODAxODMy,1801832,Rajiv,Kozhikode,International Business,3.9,3.4,23,62.5,False
,Simon Fraser University,,,,VGVhY2hlci0yNjU5MDMy,2659032,Nicolas,Bommarito,Philosophy,4.7,2,21,95.2381,False
,Simon Fraser University,,,,VGVhY2hlci0yNzc5NzY0,2779764,Damon,Poburko,Biomedical Physiology & Kinesiology,2.2,4.3,11,27.2727,False
,Simon Fraser University,,,,VGVhY2hlci0yOTc4MTU5,2978159,Beau ,Wallbridge,Psychology,5,2,2,100,False
,Simon Fraser University,,,,VGVhY2hlci01OTk4Mjc=,599827,Randall,Pyke,Mathematics,2,4.2,200,22.6415,False
,Simon Fraser University,,,,VGVhY2hlci0xMDY0ODg=,106488,David,MacAlister,Criminal Justice,3.5,3.3,73,45.4545,False
,Simon Fraser University,,,,VGVhY2hlci05MzAyMjA=,930220,Martin,Andresen,Criminology,2.7,3.7,69,24.4898,False
,Simon Fraser University,,,,VGVhY2hlci0yNTc4Njcw,2578670,Daria,Ahrensmeier,Physics,3,3.5,24,54.1667,False
,Simon Fraser University,,,,VGVhY2hlci0yODkxNDc1,2891475,Christopher,Gibson,International Studies,2.7,3.5,12,33.3333,False
,Simon Fraser University,,,,VGVhY2hlci0yNzQ3NzU0,2747754,Stephanie,Dick,Communication,4.4,2.8,9,88.8889,False
,Simon Fraser University,,,,VGVhY2hlci0zMTM2Mzc1,3136375,Liane ,Jean ,Kinesiology,3.2,4,6,50,False
,Simon Fraser University,,,,VGVhY2hlci0xNTUyNzE2,1552716,Tara,Immell,Business Administration,1.8,3.4,187,17.7778,False
,Simon Fraser University,,,,VGVhY2hlci0xMTIyNzMy,1122732,Clint,Burnham,English,2.1,4.1,59,21.9512,False
,Simon Fraser University,,,,VGVhY2hlci0yMTI5NTUz,2129553,Scott,Harrison,Environmental Resources,4.7,3.1,14,100,False
,Simon Fraser University,,,,VGVhY2hlci0zMTYxOQ==,31619,Greg,Baker,Computer Science,3.2,3,348,57.265,False
,Simon Fraser University,,,,VGVhY2hlci0zMDM0NjA0,3034604,Gherardo,Caracciolo,Business Administration,3.7,3.4,75,64,False
,Simon Fraser University,,,,VGVhY2hlci0yOTMyMDM3,2932037,NICHOLAS,VINCENT,Computer Science,4.9,2.1,67,98.5075,False
,Simon Fraser University,,,,VGVhY2hlci0xMzY4NTAx,1368501,Isabel,Mayo-Harp,Languages,4.5,2.6,40,89.4737,False
,Simon Fraser University,,,,VGVhY2hlci0yNTY0MDEz,2564013,Chelsea,Rosenthal,Philosophy,4.2,2.2,32,87.5,False
,Simon Fraser University,,,,VGVhY2hlci0zMDMwMDEw,3030010,Claudia,Gomez,Business Administration,3.1,2.5,15,53.3333,False
,Simon Fraser University,,,,VGVhY2hlci00MjMwMjM=,423023,Fiona,Brinkman,Biology,2.8,3,24,53.8462,False
,Simon Fraser University,,,,VGVhY2hlci0yNzQ0MDg0,2744084,Blaber,Andrew,Biomedical Physiology & Kinesiology,2.7,3.3,22,45.4545,False
,Simon Fraser University,,,,VGVhY2hlci0zMDg4MzU1,3088355,Matthew,Stewart,Engineering,4.1,2.7,15,86.6667,False
,Simon Fraser University,,,,VGVhY2hlci0yODE0NzU0,2814754,Hamideh,Shokoohian,Business Administration,2.8,4.1,14,50,False
,Simon Fraser University,,,,VGVhY2hlci0yNDAxMTI4,2401128,Sara,Graves,Business Administration,3.3,3.3,46,58.6957,False
,Simon Fraser University,,,,VGVhY2hlci01OTg2NjI=,598662,Naoko,Takei,Languages,4.2,2.7,44,77.7778,False
,Simon Fraser University,,,,VGVhY2hlci0xMDY1MTA=,106510,Yaroslav,Senyshyn,Education,2.7,2.9,36,7.6923,False
,Simon Fraser University,,,,VGVhY2hlci0yNjQ2NDQw,2646440,Luana,Carcano,Business Administration,2.9,3.4,25,48,False
,Simon Fraser University,,,,VGVhY2hlci04MzIyMDE=,832201,John,Welch,Archaeology,2.5,3.3,20,28.5714,False
,Simon Fraser University,,,,VGVhY2hlci0zMTM1Mzk1,3135395,Gustavo,Albuquerque,Economics,5,2.5,4,100,False
,Simon Fraser University,,,,VGVhY2hlci0yMzk3NjQ5,2397649,Richard,Wong,Business Administration,4.9,3.2,63,96.8254,False
,Simon Fraser University,,,,VGVhY2hlci0yMzAxNTkz,2301593,Amyn,Sajoo,History,4,3.7,54,74.0741,False
,Simon Fraser University,,,,VGVhY2hlci0zMDI0NDE3,3024417,Amyn,Somani,Business Administration,4.1,2.8,19,84.2105,False
,Simon Fraser University,,,,VGVhY2hlci0yODczNDk3,2873497,Victor,Song,Finance,1.9,4,8,25,False
,Simon Fraser University,,,,VGVhY2hlci0yNjM2MjQz,2636243,Diana,Lim,Psychology,3.4,3.2,90,55.5556,False
,Simon Fraser University,,,,VGVhY2hlci0xMzc4NjI2,1378626,James,Pflanz,Business Administration,4,3,54,69.697,False
,Simon Fraser University,,,,VGVhY2hlci0xNTEwOTA1,1510905,Erol,Girt,Physics,2.8,3.4,54,24.3243,False
,Simon Fraser University,,,,VGVhY2hlci0yOTI4MzM=,292833,Lance,Lesack,Geography,3.8,3.3,26,80,False
,Simon Fraser University,,,,VGVhY2hlci0zMTExNjk1,3111695,Dave,Ng,Biomedical Physiology & Kinesiology,3.3,3.8,20,68.4211,False
,Simon Fraser University,,,,VGVhY2hlci0zMTIzMzA5,3123309,Alireza,Noori,Physics,2.2,3.4,18,38.8889,False
,Simon Fraser University,,,,VGVhY2hlci0zMTM3ODk4,3137898,Seda,Albayrak,Mathematics,3,3,4,50,False
,Simon Fraser University,,,,VGVhY2hlci0zMTM2MzAw,3136300,Angela,May,Global Studies,5,3,1,100,False
,Simon Fraser University,,,,VGVhY2hlci0yMjM0MDU0,2234054,Clare,McGovern,Political Science,3.3,3.7,80,56.25,False
,Simon Fraser University,,,,VGVhY2hlci01OTQxMzc=,594137,Nancy,Forde,Physics,2.2,4,61,19.6078,False
,Simon Fraser University,,,,VGVhY2hlci05NjgwNzM=,968073,Parvaneh,Saeedi,Engineering,2.7,3.3,22,42.8571,False
,Simon Fraser University,,,,VGVhY2hlci0yOTIzMjgz,2923283,Maxwell,Donelan,Biomedical Physiology & Kinesiology,3.5,3.3,4,50,False
,Simon Fraser University,,,,VGVhY2hlci0zMDIyMzAy,3022302,Zhengjie,Miao,Computer Science,3.2,2.9,21,52.381,False
,Simon Fraser University,,,,VGVhY2hlci0xODgyNjE2,1882616,Bohdan,Nosyk,Health Science,2.1,4.7,20,43.75,False
,Simon Fraser University,,,,VGVhY2hlci0yOTI5MzUw,2929350,Altug,Turgay,Finance,3,2.4,5,60,False
,Simon Fraser University,,,,VGVhY2hlci0zMTYzMg==,31632,Nadine,Schuurman,Geography,2.7,3.6,51,27.2727,False
,Simon Fraser University,,,,VGVhY2hlci0yOTMyNjYx,2932661,Chelsey ,Lee,Criminology,1.9,3.8,25,32,False
,Simon Fraser University,,,,VGVhY2hlci0yMjAwNDYx,2200461,Sanjay,Jeram,Political Science,4,2.9,123,77.2358,False
,Simon Fraser University,,,,VGVhY2hlci0zMTExOQ==,31119,Martin,Laba,Communication,3.9,2.5,83,76.1905,False
,Simon Fraser University,,,,VGVhY2hlci03NTQzNA==,75434,Brad,McNeney,Statistics,3.8,2.5,73,85.3659,False
,Simon Fraser University,,,,VGVhY2hlci0xNDQ4NzAw,1448700,Evgenia,Ternovska,Computer Science,2.1,3.7,72,17.7778,False
,Simon Fraser University,,,,VGVhY2hlci04MzcyMA==,83720,Cher,Hill,Education,4.3,3.2,28,68.75,False
,Simon Fraser University,,,,VGVhY2hlci0zMDUwNjU0,3050654,Sarah,Ganzon,Communication,2.2,3.3,26,34.6154,False
,Simon Fraser University,,,,VGVhY2hlci0zMDk4MDg1,3098085,Kent,Williams,Business Administration,2.4,3.9,19,36.8421,False
,Simon Fraser University,,,,VGVhY2hlci0zMTU2Mzc1,3156375,Seyyed,Shirvani,Business Administration,1,3.5,2,0,False
,Simon Fraser University,,,,VGVhY2hlci0zMTU4OTc3,3158977,Angelina,Polsinelli,Psychology,5,4,1,100,False
,Simon Fraser University,,,,VGVhY2hlci0xNzc4NzE1,1778715,Susan,Christie-Bell,Business Administration,2.6,3.5,116,37.6147,False
,Simon Fraser University,,,,VGVhY2hlci0xMjI3MjI0,1227224,Julian,Somers,Health Science,2.9,3.2,58,38.8889,False
,Simon Fraser University,,,,VGVhY2hlci0zMTU2ODQ2,3156846,Dongsheng,Zhao,Engineering,5,3,4,100,False
,Simon Fraser University,,,,VGVhY2hlci0xODg1OTg0,1885984,Michael,Parent,Business Administration,1,4.3,4,0,False
,Simon Fraser University,,,,VGVhY2hlci0xNDQyMjkw,1442290,Brian,Fraser,Computer Science,4.4,3.1,151,88.3333,False
,Simon Fraser University,,,,VGVhY2hlci0zMzAyMzU=,330235,Eugene,McCann,Geography,4.5,3.4,44,100,False
,Simon Fraser University,,,,VGVhY2hlci0zMTIxMTgz,3121183,Shervin,Janesar,Engineering,2.1,3.7,31,22.5806,False
,Simon Fraser University,,,,VGVhY2hlci0zMTEyMDQz,3112043,Lisa,Ricci,Accounting,1.9,3.7,26,23.0769,False
,Simon Fraser University,,,,VGVhY2hlci0zMDc3OTk1,3077995,Henry,Chow,Business Administration,1.8,4.2,18,22.2222,False
,Simon Fraser University,,,,VGVhY2hlci0yODM4NTc2,2838576,Ajay,Kalra,Education,2.1,1.5,15,33.3333,False
,Simon Fraser University,,,,VGVhY2hlci0zMTMwMzU0,3130354,Afifa,Shahrin,Health Science,2.4,3.4,10,40,False
,Simon Fraser University,,,,VGVhY2hlci0yNjQzNA==,26434,Imin,Chen,Mathematics,3.2,3.6,117,62.7119,False
,Simon Fraser University,,,,VGVhY2hlci0yNjM3NDA0,2637404,Connie,Liu,Business Administration,1.9,3.6,106,16.9811,False
,Simon Fraser University,,,,VGVhY2hlci0yNjE0NDM4,2614438,Mehdi,Ghotboddini,Business Administration,2.9,3.4,70,45.7143,False
,Simon Fraser University,,,,VGVhY2hlci0yMDQ0MTY4,2044168,Stephanie,Vlachos,Molecular Biology & Biochemistry,3.9,3.5,64,74.5455,False
,Simon Fraser University,,,,VGVhY2hlci0yMzQyMzA=,234230,Steven,Kates,Business Administration,1.9,3.6,62,14.2857,False
,Simon Fraser University,,,,VGVhY2hlci0yNzE1NTIy,2715522,Cleusa,Yamamoto,Business Administration,3.7,2.9,12,66.6667,False
,Simon Fraser University,,,,VGVhY2hlci0zMDQ5MDQ5,3049049,Erique,Zhang,Communication,5,2.5,2,100,False
,Simon Fraser University,,,,VGVhY2hlci0zMTM4NjM4,3138638,Spozhmay , Oriya,Psychology,1.5,3,2,0,False
,Simon Fraser University,,,,VGVhY2hlci0zMTU4Nzg1,3158785,Paul,Choi,Law,5,2,1,100,False
,Simon Fraser University,,,,VGVhY2hlci00NTAyODE=,450281,Timothy,Racine,Psychology,3.9,3.1,87,65.3061,False
,Simon Fraser University,,,,VGVhY2hlci0xNjUwNjA0,1650604,Rachel,Fouladi,Psychology,2.7,3,22,40,False
,Simon Fraser University,,,,VGVhY2hlci0yNzQ4MDQ5,2748049,Steven,Ko,Computer Science,3.6,3.8,43,72.093,False
,Simon Fraser University,,,,VGVhY2hlci0zMDIyOTAz,3022903,David,Chou,Computer Science,4.8,2.5,32,96.875,False
,Simon Fraser University,,,,VGVhY2hlci0yNjkzMTY3,2693167,David,Stenning,Statistics,4.6,2.6,22,95.4545,False
,Simon Fraser University,,,,VGVhY2hlci0zMTE0NDkz,3114493,Morteza,Badali,Computer Science,4.9,2.6,11,100,False
,Simon Fraser University,,,,VGVhY2hlci0zMDAxOQ==,30019,Logan,Masilamani,Political Science,3.3,3.2,26,57.6923,False
,Simon Fraser University,,,,VGVhY2hlci0yNzM5MzUw,2739350,Mike,Hegedus,Engineering,4.1,2.7,21,90.4762,False
,Simon Fraser University,,,,VGVhY2hlci0xOTk2MjYy,1996262,Adel,Iskandar,Communication,4.8,1.7,20,100,False
,Simon Fraser University,,,,VGVhY2hlci0xMjMyOA==,12328,Zamir,Punja,Science,4.5,2.6,146,97.0588,False
,Simon Fraser University,,,,VGVhY2hlci0xODc2MzM=,187633,Tammy,McMullan,Biology,2.8,4,126,24.3902,False
,Simon Fraser University,,,,VGVhY2hlci0xOTQ4Mjc0,1948274,Ilten,Nathan ,Mathematics,3,4.1,99,50.6173,False
,Simon Fraser University,,,,VGVhY2hlci0xMTk1ODkx,1195891,Gordon,Rintoul,Biology,4.7,2.8,45,92.3077,False
,Simon Fraser University,,,,VGVhY2hlci0xMzAwMDQz,1300043,Julian,Guttman,Biology,3.7,3.2,32,78.5714,False
,Simon Fraser University,,,,VGVhY2hlci0xNjQzOTg2,1643986,Nicolas,Kenny,History,2.9,3.8,20,46.1538,False
,Simon Fraser University,,,,VGVhY2hlci0zMDAxMDY3,3001067,Giuliano,Gullotti ,French,4.7,1,3,100,False
,Simon Fraser University,,,,VGVhY2hlci01NjY2MzQ=,566634,Diana,Cukierman,Computer Science,3.4,3.1,246,54.3046,False
,Simon Fraser University,,,,VGVhY2hlci0xMjk3NDQz,1297443,Masahiro,Niikura,Health Science,2.9,3.9,17,50,False
,Simon Fraser University,,,,VGVhY2hlci0zMTI4NjY3,3128667,Joao,Bastos,Health Science,2.8,2.4,13,46.1538,False
,Simon Fraser University,,,,VGVhY2hlci0zMDM0NDc0,3034474,Ashleigh,Rich,Health Science,2.7,2.2,6,50,False
,Simon Fraser University,,,,VGVhY2hlci05MTIyODM=,912283,Rochelle,Tucker,Health Science,3.2,3.2,289,70.0787,False
,Simon Fraser University,,,,VGVhY2hlci0xMjUxODc=,125187,Peter,Dickinson,English,3.4,3.1,66,22.2222,False
,Simon Fraser University,,,,VGVhY2hlci0xOTkzMDEx,1993011,Kevin,Lunnie,Kinesiology,4.8,3,62,96.2264,False
